Customer_ID,Purchase_Date,Product_Category,Amount,City,Payment_Method
C0003,2025-01-01,Electronics,1623.84,Aurangabad,UPI
C0043,2025-01-01,Home,4092.22,Thane,UPI
C0185,2025-01-01,Clothing,856.38,Bengaluru,Debit Card
C0021,2025-01-01,Home,1529.52,Nagpur,Credit Card
C0126,2025-01-02,Electronics,1832.71,Nashik,Debit Card
C0115,2025-01-02,Sports,2169.37,Mumbai,UPI
C0065,2025-01-02,Electronics,8335.33,Nagpur,Credit Card
C0012,2025-01-03,Home,1783.74,Thane,Credit Card
C0191,2025-01-03,Sports,4415.04,Aurangabad,Net Banking
C0103,2025-01-03,Electronics,3953.35,Bengaluru,Net Banking
C0058,2025-01-04,Beauty,1733.8,Aurangabad,UPI
C0113,2025-01-04,Clothing,5791.0,Bengaluru,Debit Card
C0044,2025-01-05,Electronics,798.18,Bengaluru,UPI
C0192,2025-01-06,Home,2154.97,Pune,UPI
C0113,2025-01-07,Home,1747.76,Delhi,UPI
C0012,2025-01-07,Sports,3279.43,Nashik,Net Banking
C0149,2025-01-07,Clothing,2257.46,Nashik,UPI
C0168,2025-01-07,Electronics,675.95,Thane,Credit Card
C0079,2025-01-08,Electronics,1476.0,Aurangabad,UPI
C0198,2025-01-08,Clothing,1853.44,Pune,Debit Card
C0113,2025-01-09,Home,559.57,Pune,Debit Card
C0014,2025-01-10,Electronics,2061.11,Pune,UPI
C0111,2025-01-10,Sports,2610.15,Nagpur,UPI
C0023,2025-01-10,Clothing,1849.3,Nashik,UPI
C0128,2025-01-11,Clothing,4314.67,Delhi,UPI
C0070,2025-01-11,Clothing,1669.05,Thane,UPI
C0145,2025-01-11,Sports,3595.05,Thane,Credit Card
C0142,2025-01-11,Electronics,3563.94,Delhi,UPI
C0160,2025-01-12,Beauty,4431.77,Delhi,UPI
C0145,2025-01-12,Sports,4405.09,Bengaluru,Net Banking
C0155,2025-01-12,Sports,2230.5,Aurangabad,Cash
C0143,2025-01-12,Clothing,1774.9,Nagpur,Net Banking
C0053,2025-01-13,Sports,4482.16,Nashik,UPI
C0086,2025-01-14,Beauty,2168.14,Delhi,Debit Card
C0014,2025-01-14,Clothing,1947.71,Nagpur,Net Banking
